Event	ID	Name			Wwise Object Path	Notes
	111235887	Play_BatSwing			\Default Work Unit\Play_BatSwing	
	156979971	Play_LevelClear			\Default Work Unit\Play_LevelClear	
	193540430	Play_CrabBrokenCombine			\Default Work Unit\Play_CrabBrokenCombine	
	245333712	Play_BotRichochet			\Default Work Unit\Play_BotRichochet	
	324747943	Play_MetalBounceHigh			\Default Work Unit\Play_MetalBounceHigh	
	380006374	Play_PinballBouncer			\Default Work Unit\Play_PinballBouncer	
	402823764	Stop_RobotCharge			\Default Work Unit\Stop_RobotCharge	
	469739728	Play_ObjectBroken			\Default Work Unit\Play_ObjectBroken	
	1224438937	Play_BotCollide			\Default Work Unit\Play_BotCollide	
	1502414276	Play_OilSpill			\Default Work Unit\Play_OilSpill	
	1602358412	Play_Footstep			\Default Work Unit\Play_Footstep	
	1609761031	Play_CrabBroken			\Default Work Unit\Play_CrabBroken	
	1856549598	Play_RobotCharge			\Default Work Unit\Play_RobotCharge	
	2129047272	Play_BotExplode			\Default Work Unit\Play_BotExplode	
	2211787386	Play_Dash			\Default Work Unit\Play_Dash	
	2932040671	Play_Music			\Default Work Unit\Play_Music	
	3063340210	Play_RobotAttack			\Default Work Unit\Play_RobotAttack	
	3178286754	Play_PlayerHurt			\Default Work Unit\Play_PlayerHurt	
	3786027151	Play_MetalBounce			\Default Work Unit\Play_MetalBounce	
	4122950737	Play_MetalContact			\Default Work Unit\Play_MetalContact	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	221111	RobotAttack2	G:\Git\Pacific TakeDown2\Pacific-Takedown-MSS\Pacific Takedown Unity\Pacific Takedown Unity_WwiseProject\.cache\Windows\SFX\RobotAttack2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\RobotAttack\RobotAttack2		108896
	4959357	Bumper4	G:\Git\Pacific TakeDown2\Pacific-Takedown-MSS\Pacific Takedown Unity\Pacific Takedown Unity_WwiseProject\.cache\Windows\SFX\Bumper4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PinballBouncer\Bumper4		108896
	8635666	PlayerHurt1	G:\Git\Pacific TakeDown2\Pacific-Takedown-MSS\Pacific Takedown Unity\Pacific Takedown Unity_WwiseProject\.cache\Windows\SFX\PlayerHurt1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerHurt\PlayerHurt1		92392
	35593424	RobotAttack1	G:\Git\Pacific TakeDown2\Pacific-Takedown-MSS\Pacific Takedown Unity\Pacific Takedown Unity_WwiseProject\.cache\Windows\SFX\RobotAttack1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\RobotAttack\RobotAttack1		129488
	126449396	BatSwing4	G:\Git\Pacific TakeDown2\Pacific-Takedown-MSS\Pacific Takedown Unity\Pacific Takedown Unity_WwiseProject\.cache\Windows\SFX\BatSwing4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BatSwing\BatSwing4		62712
	133562960	RobotBounce5	G:\Git\Pacific TakeDown2\Pacific-Takedown-MSS\Pacific Takedown Unity\Pacific Takedown Unity_WwiseProject\.cache\Windows\SFX\RobotBounce5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\BotRichochet\RobotBounce5		61284
	142851640	MetalBounce3	G:\Git\Pacific TakeDown2\Pacific-Takedown-MSS\Pacific Takedown Unity\Pacific Takedown Unity_WwiseProject\.cache\Windows\SFX\MetalBounce3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MetalBounce\MetalBounce3		136472
	153730395	Cement5	G:\Git\Pacific TakeDown2\Pacific-Takedown-MSS\Pacific Takedown Unity\Pacific Takedown Unity_WwiseProject\.cache\Windows\SFX\Cement5_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footstep\Cement5		147172
	169332022	PlayerHurt4	G:\Git\Pacific TakeDown2\Pacific-Takedown-MSS\Pacific Takedown Unity\Pacific Takedown Unity_WwiseProject\.cache\Windows\SFX\PlayerHurt4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerHurt\PlayerHurt4		108896
	181179006	Bumper3	G:\Git\Pacific TakeDown2\Pacific-Takedown-MSS\Pacific Takedown Unity\Pacific Takedown Unity_WwiseProject\.cache\Windows\SFX\Bumper3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PinballBouncer\Bumper3		165928
	186964156	RobotCharge	G:\Git\Pacific TakeDown2\Pacific-Takedown-MSS\Pacific Takedown Unity\Pacific Takedown Unity_WwiseProject\.cache\Windows\SFX\RobotCharge_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\RobotCharge		911884
